key;fi;en;
yes;kyllä;yes;
no;ei;no;
help_text;Ole hyvä ja vastaa K tai E;Please answer Y or N for yes or no.;
startup_time_text;Alustaviin toimiin kulunut aika: %1% sekuntia;Time taken to startup: %1% seconds;
language;Kieli: %1%;Language: %1%;
codewords_in_file;%1% kryptosanaa tiedostossa %2%;%1% codewords in the file %2%;
words_in_file;%1% sanaa tiedostossa %2%;%1% words in the file %2%;
comments;Krypton lisätietoja:;Comments about codeword puzzle:;
choose_action;Valitse seuraavista:;Choose an action:;
set_number_letter;Anna numerolle kirjainarvo;Set a number-letter correspondence in the substitution table;
set_codeword_word;Arvaa kryptosana;Set a codeword as word;
missing_letters;Näytä puuttuvat kirjaimet;Show missing letters;
show_progress;Näytä krypton tilanne;Show codeword puzzle progress;
show_matching_words;Näytä kryptosanaan sopivat sanat;Show matching words for codeword;
find_unique_pairs;Etsi kryptosanapareja, joihin sopii vain yksi sanapari;Find unique pairs;
solve;Yritä ratkaista krypto;Try to solve the codeword puzzle;
solve_with_steps;Yritä ratkaista krypto (välivaiheineen);Try to solve the codeword puzzle (step-by-step);
restart;Aloita alusta;Restart;
clear_screen;Tyhjennä ruutu;Clear screen;
exit;Lopeta;Exit;
exit_confirmation;Haluatko varmasti lopettaa?;Are you sure you want to quit?;
choose_language;Valitse kieli (vaihtoehdot: %1%):;Choose language (available: %1%):;
add_new_language_question;Haluatko lisätä uuden kielen, %1%? [HUOM: kielen lisäys ei toimi];Do you want to add a new language, %1%? [NOTE: This has not been implemented yet];
try_again_question;Haluatko yrittää uudelleen?;Do you want to try again?;
codeword_path_prompt;Kirjoita kryptosanat sisältävän csv-tiedoston polku:;Type the path to the csv file with codewords:;
found_csv_files_text;Seuraavat csv-tiedostot havaittiin:;The following csv files were detected:;
file_not_found_try_again;Tiedostoa %1% ei lödy. Haluatko yrittää uudelleen?;File %1% does not exist. Do you want to try again?;
number_prompt;Numero (tai numerot pilkuilla erotettuina): ;Number (or numbers separated by commas): ;
letter_prompt;Kirjain (tai kirjaimet pilkuilla erotettuina): ;Letter (or letters separated by commas): ;
missing_letters_text;Kirjaimet, joita ei vielä ole ratkaistu:;Letters yet to be included in substitution table:;
invalid_number_text;%1% ei ole sallittu numero;%1% is not a valid number;
not_in_alphabet_text;%1% ei ole aakkosissa (%2%);%1% not in alphabet (%2%);
already_in_table_text;%1% on jo ratkaistu (%2%);%1% already in table (%2%);
codeword_prompt;Kryptosana (indeksinumero tai numerot pilkuilla erotettuina): ;Codeword (index number or numbers separated by commas): ;
cancelled;Toimi peruutettu;Action cancelled;
invalid_codeword_text;Ei löytynyt kryptosanaa, joka vastaisi annettua arvoa %1%;Codeword corresponding to %1% not found;
word_prompt;Sana: ;Word: ;
no_match_text;%1% ja %2% eivät vastaa toisiaan;%1% and %2% do not match;
word_in_wordlist_text;%1% on sanalistassa;%1% is in wordlist;
word_not_in_wordlist_text;%1% EI ole sanalistassa;%1% is NOT in wordlist;
unique_pairs_found_text;%1% sanaparia löytyi %2% sekunnissa:;Found %1% unique pairs in %2% seconds:;
solving_time_text;Kulunut aika ainakin %1%:n sanan löytämiseen: %2% sekuntia;Time to reach at least %1% words: %2% seconds;
found_codewords_text;%1% / %2% sanaa ratkaistu;%1% out of %2% words solved;
found_codewords_in_wordlist_text;%1% ratkaistua sanaa sanalistassa;%1% solved words in wordlist;
substitution_table_decipher_text;%1% / %2% numero-kirjain-paria ratkaistu;%1% out of %2% numbers deciphered;
words_matching_codeword_text;%1% sanaa vastaa kryptosanaa %2% %3%:;%1% words match %2% %3%:;
matching_words_text;%1% sopivaa sanaa;%1% matching words;
first_guess_text;Nopea arvaus: ;Quick guess: ;
guess_again_question;Haluatko kokeilla ratkaisua uudelleen;Do you want to try to solve the puzzle again;
solution_continues_text;Loput systemaattisemmin:;Solving the rest more methodically:;
best_match_text;Parhaiten sopii: ;Best match: ;
solving_time_with_steps_text;Ratkaisemiseen käytetty aika: %1% sekuntia;Time spent solving: %1% seconds;
solved_words_note;Ratkaistuihin sanoihin on lisätty %1%;%1% denotes solved words;
show_unsolved_text;Näytä ratkaisemattomien kryptosanojen tilanne;Show progress on unsolved codewords;
show_all_text;Näytä koko krypton tilanne;Show progress for the whole puzzle;
show_solved_text;Näytä ratkaistut kryptosanat;Show solved codewords;
choose_progress_shown_text;Valitse mitä haluat nähdä (oletus %1%):;Choose what you want to see (default %1%):;
